ADDRESS,pdq,MSE_EMA,MSE_ARIMA,MSE_GARCH,MSE_GJRGARCH,SHARE_ZERO,MAX_VALUE,AVG_VALUE,MEDIAN_VALUE,PERIODICITY,ENTRIES,CLUSTER
0x8ef5de427075ba4ef7ca157667e5e6432ddbd601,4 1 1,0.0919478361816115,0.216086489286771,0.0728566464448625,0.0720793037510649,0.8560606060606061,2.786,0.15518320610687023,0.0,5.947368421052632,132,1
0x812faac0c8221446375e5a57d123eff45981e577,0 0 0,0.219781713443147,1.22101786092668,0.263263348212926,0.263115463937314,0.7409638554216867,4.618,0.5657068727244753,0.0,2.9285714285714284,166,1
0xcbf84ef6c79c3043e91a8eff73ba022638efa039,0 0 0,0.000166687436992865,0.000235077633505649,0.000194816306638289,0.000194967480418149,0.9070385126162018,0.3,0.002226399439342007,0.0,9.757142857142858,753,1
0x037797cdd6c00d6c3094e6b537f79222e2100fe5,2 1 5,0.240584837849194,4.78900390000473,0.320849288634339,0.317131667333407,0.5625,20.0,0.8487178766114271,0.0,1.6666666666666667,208,0
0x592ee1118fcffcde9d8b71f7376eb2ff52a75b88,0 1 1,0.0225646864944343,0.0650636978293726,0.0274701981148886,0.0274923502797224,0.5094102885821832,3.0,0.10972017019856244,0.0,1.2678062678062678,797,0
0x240ddb16c5e4257505b0b6a7820314e483cd1715,0 1 1,0.0206426275507068,0.271625428395628,0.0258666581069583,0.0245871598827738,0.6013266549343441,23.0,0.06612704081730028,0.0,1.7355555555555555,7387,3
0x7b0aa292f4ddb61a150a17ecab7c02a6af57fd66,1 1 2,0.335786374067943,36.4241199812011,0.416531423135328,0.405821569323219,0.4006849315068493,83.36853675511291,1.3780299268497143,0.003715242733995013,1.4373259052924792,876,0
0x651ffc250dfc357ef056991a4063889b40b706df,3 1 2,0.00602283694745897,0.0110700220824641,0.00693687500664952,0.00692638540626518,0.25338253382533826,1.358,0.07982821740962626,0.0445,0.37796610169491524,813,0
0x8052959d4055c94a484b69979c95fa5ee114d2f7,3 1 2,0.0201756086528124,0.0529420843268095,NaN,0.0242244394052315,0.5912263210368893,3.0,0.09134321544951007,0.0,2.083076923076923,1003,0
0xea143346bd8eca087d33ee68c104ee7e36928b65,1 0 2,0.0284409336140993,0.0687571727283616,0.0342391773809217,0.0342649991826202,0.3889541715628672,2.0,0.13894619829902083,0.01,1.3876404494382022,851,0
0xc3ddbedca1956d64cd5bb0b4e422d2f997a4bcc8,0 1 4,0.000325602663530273,0.000368597207345036,0.000298893938118506,0.00030307374020945,0.7339357429718876,0.25,0.004424366257348271,0.0,3.8300970873786406,996,1
0xd5ff53f48f14e9409b581e41a4cddfe0e97dc724,5 0 2,0.0925192696265431,1.14968082806014,0.113131129348238,0.111287017433834,0.44883866917765225,30.0,0.2793473847668963,0.0,1.4136363636363636,4779,3
